,t,u,lambda,u_begin
202,-292.6025390625,(-1.734723475976807e-16+6.505213034913027e-17j),1664.6090111596868,(0.0026413890394032303+0.007969811119608806j)
203,-292.56591796875,(-1.3010426069826053e-16-3.469446951953614e-18j),1664.5936066276315,(0.06490851586503635+0.03258466397430924j)
204,-292.529296875,(-1.682681771697503e-16+1.1275702593849246e-17j),1664.578202380685,(0.04750108864578378+0.0401073327137373j)
205,-292.49267578125,(-2.636779683484747e-16+2.7755575615628914e-17j),1664.5627984188397,(0.035401242968101654+0.07412103251684592j)
206,-292.4560546875,(-3.2959746043559335e-16+9.80118763926896e-17j),1664.5473947420874,(0.06794111343267087+0.006590363004453259j)
207,-292.41943359375,(-3.365363543395006e-16-3.209238430557093e-17j),1664.5319913504202,(0.04621104874663953+0.07588830967538907j)
208,-292.3828125,(-2.636779683484747e-16+7.719519468096792e-17j),1664.5165882438303,(0.08744934253746686+0.012521255427415324j)
209,-292.34619140625,(-2.6020852139652106e-16+7.025630077706069e-17j),1664.5011854223096,(0.05445740142602157+0.020775800070159903j)
210,-292.3095703125,(-2.3592239273284576e-16+1.240327285323417e-16j),1664.4857828858503,(0.07417317837743448+0.09721152923722876j)
211,-292.27294921875,(-1.5612511283791264e-16-3.2959746043559335e-17j),1664.4703806344446,(0.08299371002099964+0.028412753056746357j)
212,-292.236328125,(-2.1510571102112408e-16+8.673617379884035e-17j),1664.4549786680846,(0.01143850661082424+0.01556935267707389j)
213,-292.19970703125,(-3.0184188481996443e-16+9.540979117872439e-17j),1664.439576986762,(0.0012969105739856547+0.042742935439606j)
214,-292.1630859375,(-3.2959746043559335e-16+1.2663481374630692e-16j),1664.4241755904688,(0.0772305452046623+0.08768581620882226j)
215,-292.12646484375,(-2.949029909160572e-16+2.949029909160572e-17j),1664.408774479198,(0.024373067884049304+0.059957541389430595j)
216,-292.08984375,(-2.914335439641036e-16-4.85722573273506e-17j),1664.393373652941,(0.05955126550823441+0.03862247985898241j)
217,-292.05322265625,(-3.0531133177191805e-16-5.551115123125783e-17j),1664.37797311169,(0.017517172222629385+0.005133820423908986j)
218,-292.0166015625,(-3.8163916471489756e-16-3.8163916471489756e-17j),1664.362572855437,(0.04671634842091271+0.009899787090132839j)
219,-291.97998046875,(-2.0469737016526324e-16-7.632783294297951e-17j),1664.3471728841744,(0.04484852271295839+0.01712804632033359j)
220,-291.943359375,(-1.0408340855860843e-16-8.673617379884035e-18j),1664.331773197894,(0.03336154887474629+0.029696607970222545j)
221,-291.90673828125,(-2.185751579730777e-16-1.8041124150158794e-16j),1664.316373796588,(0.0704183922561257+0.089282387073789j)
222,-291.8701171875,(-3.95516952522712e-16+7.112366251504909e-17j),1664.3009746802484,(0.07756594267841892+0.07495510161297061j)
223,-291.83349609375,(-3.400058012914542e-16+3.8163916471489756e-17j),1664.2855758488674,(0.04275705947292088+0.017148523018407868j)
224,-291.796875,(-2.0816681711721685e-16-1.3877787807814457e-16j),1664.2701773024369,(0.06468660221000959+0.07459680256402577j)
225,-291.76025390625,(-1.97758476261356e-16-8.500145032286355e-17j),1664.2547790409492,(0.09132763924844624+0.05126314434148352j)
226,-291.7236328125,(-1.8041124150158794e-16-1.3357370765021415e-16j),1664.2393810643964,(0.002045693210061195+0.018480622795384295j)
