,t,u,lambda,u_begin
152,-294.43359375,(1.4238132828933177e-16+2.0331570060961386e-17j),1665.3796014512927,(0.051812774493844395+0.09203696743190347j)
153,-294.39697265625,(4.110031831054685e-17-7.333841544410267e-17j),1665.3641826536946,(0.06569637020715682+0.050891254261947794j)
154,-294.3603515625,(-7.491106445957829e-18+2.010183884379826e-17j),1665.3487641416018,(0.07720788172322973+0.024133319333658355j)
155,-294.32373046875,(7.301810464114254e-17+6.0671911220641465e-18j),1665.3333459150058,(0.07059278123247921+0.008910052306829841j)
156,-294.287109375,(6.492020496759541e-17+1.9489381083374197e-17j),1665.3179279738993,(0.041807971017510395+0.01722620647944989j)
157,-294.25048828125,(3.101633482520275e-17+7.249172660398319e-17j),1665.3025103182738,(0.08079926666876117+0.002138803292285274j)
158,-294.2138671875,(8.175318484926171e-17+2.83325638713867e-17j),1665.2870929481217,(0.0933844015770873+0.09744753327957408j)
159,-294.17724609375,(4.5113398287237663e-17+5.901331483079914e-18j),1665.2716758634347,(0.02384141925172083+0.009363813778226527j)
160,-294.140625,(4.1772276826793076e-17+1.9458464380799415e-17j),1665.2562590642053,(0.03438231186912242+0.0023312726109709805j)
161,-294.10400390625,(5.3553446331916325e-17+7.724940478959219e-18j),1665.2408425504254,(0.04571533791373514+0.025468333000191447j)
162,-294.0673828125,(3.820690339356291e-17-3.665958595716612e-17j),1665.2254263220873,(0.06494477726166638+0.07498520126073706j)
163,-294.03076171875,(9.375087715152684e-17-4.630136199576182e-17j),1665.2100103791827,(0.05286303399404129+0.08429252825156831j)
164,-293.994140625,(7.595767954502938e-18+3.3942304262374323e-17j),1665.1945947217039,(0.0046290713870523305+0.04507796603952359j)
165,-293.95751953125,(-3.1092673669574043e-17-1.3604196165851318e-17j),1665.179179349643,(0.03948092517644866+0.039828967224782685j)
166,-293.9208984375,(2.30007561662169e-17-3.689082595176654e-17j),1665.1637642629917,(0.009606706053539705+0.006910048487300924j)
167,-293.88427734375,(6.156489570528431e-17-5.4752209710517974e-18j),1665.1483494617426,(0.060021085001046054+0.07414136473062236j)
168,-293.84765625,(8.372412463840406e-17-3.176373552203626e-17j),1665.1329349458874,(0.06302925234987887+0.03711696436889844j)
169,-293.81103515625,(-2.985791139071409e-17-6.853089466350368e-17j),1665.1175207154183,(0.0056929561684140656+0.008024021569982954j)
170,-293.7744140625,(-3.4484405348617075e-17-5.171178494634866e-17j),1665.1021067703275,(0.09372590009031873+0.012758566434987451j)
171,-293.73779296875,(4.0405165649924635e-17-5.173296077003002e-17j),1665.0866931106068,(0.05471226087652196+0.02380362798392658j)
172,-293.701171875,(1.7350622891557088e-17-7.334288883685536e-17j),1665.0712797362485,(0.01702188306912199+0.09461497242976487j)
173,-293.66455078125,(-1.2902005852577503e-17-6.510972858954356e-17j),1665.0558666472448,(0.08748020430735143+0.05299840173490446j)
174,-293.6279296875,(1.6940658945086007e-17-1.0048182446688314e-16j),1665.0404538435873,(0.05825536934528186+0.06102588750406221j)
175,-293.59130859375,(3.0877739059208265e-17-6.984294869880059e-17j),1665.0250413252684,(0.05069870897385326+0.07538097119629883j)
176,-293.5546875,(3.979191379611252e-17-1.1501352170997792e-16j),1665.00962909228,(0.01008633099302876+0.0016973623109980851j)
177,-293.51806640625,(-1.3371262105356385e-17-1.0419860503943501e-16j),1664.9942171446144,(0.04684414101415818+0.09708346519765598j)
178,-293.4814453125,(6.697150700760851e-17-5.101848847902102e-17j),1664.9788054822636,(0.08677151121839463+0.020189043934255857j)
179,-293.44482421875,(2.134523027080837e-17-1.1153729849444627e-16j),1664.9633941052198,(0.025301805574907767+0.0789341708517969j)
180,-293.408203125,(2.7559063971865916e-17-4.2961511084738113e-17j),1664.9479830134749,(0.03790360337330478+0.03528878829864823j)
181,-293.37158203125,(-1.3200161450011016e-17-9.667017620423879e-17j),1664.932572207021,(0.053853260990160384+0.03272203976443815j)
182,-293.3349609375,(9.52742659071637e-18-1.098296800727816e-16j),1664.9171616858503,(0.0854032681115122+0.01871251900707671j)
183,-293.29833984375,(2.5695591487906455e-17-9.173028005585171e-17j),1664.9017514499546,(0.0018358926851557269+0.025466522678013748j)
184,-293.26171875,(-1.1302807648161384e-17-1.1056321060510382e-16j),1664.8863414993261,(0.019462731839007288+0.01729099552531718j)
185,-293.22509765625,(5.3722217646656745e-17-1.5439377749372485e-16j),1664.8709318339572,(0.0785166718745398+0.07512988752156546j)
186,-293.1884765625,(-5.421010862427522e-18-8.211476203862089e-17j),1664.8555224538395,(0.009047076594582648+0.09556064665530792j)
187,-293.15185546875,(4.33138767907959e-17-6.093216209368535e-17j),1664.8401133589655,(0.00791542164751422+0.0046987692116369556j)
188,-293.115234375,(-2.371692252312041e-17-9.46237446036724e-17j),1664.8247045493267,(0.0037713228510895427+0.08984413178213814j)
189,-293.07861328125,(-2.846030702774449e-17-1.2175590397012215e-16j),1664.809296024916,(0.0865662824771113+0.08943051456308349j)
190,-293.0419921875,(2.6508743117270583e-17-1.3178477406561306e-16j),1664.7938877857246,(0.08245017385029522+0.03959412189105065j)
